graph_slot,graph_time,window_start,window_end_exclusive,window_steps,missing_cells,valid_for_pcmci,assigned_graph_slot
197,2023-07-24 00:00:00,2023-07-17 00:00:00,2023-07-24 00:00:00,2016,0,1,197
198,2023-07-25 00:00:00,2023-07-18 00:00:00,2023-07-25 00:00:00,2016,0,1,198
199,2023-07-26 00:00:00,2023-07-19 00:00:00,2023-07-26 00:00:00,2016,0,1,199
200,2023-07-27 00:00:00,2023-07-20 00:00:00,2023-07-27 00:00:00,2016,0,1,200
201,2023-07-28 00:00:00,2023-07-21 00:00:00,2023-07-28 00:00:00,2016,0,1,201
202,2023-07-29 00:00:00,2023-07-22 00:00:00,2023-07-29 00:00:00,2016,0,1,202
203,2023-07-30 00:00:00,2023-07-23 00:00:00,2023-07-30 00:00:00,2016,0,1,203
204,2023-07-31 00:00:00,2023-07-24 00:00:00,2023-07-31 00:00:00,2016,0,1,204
205,2023-08-01 00:00:00,2023-07-25 00:00:00,2023-08-01 00:00:00,2016,0,1,205
206,2023-08-02 00:00:00,2023-07-26 00:00:00,2023-08-02 00:00:00,2016,0,1,206
207,2023-08-03 00:00:00,2023-07-27 00:00:00,2023-08-03 00:00:00,2016,0,1,207
208,2023-08-04 00:00:00,2023-07-28 00:00:00,2023-08-04 00:00:00,2016,0,1,208
209,2023-08-05 00:00:00,2023-07-29 00:00:00,2023-08-05 00:00:00,2016,0,1,209
210,2023-08-06 00:00:00,2023-07-30 00:00:00,2023-08-06 00:00:00,2016,0,1,210
211,2023-08-07 00:00:00,2023-07-31 00:00:00,2023-08-07 00:00:00,2016,0,1,211
212,2023-08-08 00:00:00,2023-08-01 00:00:00,2023-08-08 00:00:00,2016,0,1,212
213,2023-08-09 00:00:00,2023-08-02 00:00:00,2023-08-09 00:00:00,2016,0,1,213
214,2023-08-10 00:00:00,2023-08-03 00:00:00,2023-08-10 00:00:00,2016,0,1,214
215,2023-08-11 00:00:00,2023-08-04 00:00:00,2023-08-11 00:00:00,2016,0,1,215
216,2023-08-12 00:00:00,2023-08-05 00:00:00,2023-08-12 00:00:00,2016,0,1,216
217,2023-08-13 00:00:00,2023-08-06 00:00:00,2023-08-13 00:00:00,2016,0,1,217
218,2023-08-14 00:00:00,2023-08-07 00:00:00,2023-08-14 00:00:00,2016,0,1,218
219,2023-08-15 00:00:00,2023-08-08 00:00:00,2023-08-15 00:00:00,2016,0,1,219
220,2023-08-16 00:00:00,2023-08-09 00:00:00,2023-08-16 00:00:00,2016,0,1,220
221,2023-08-17 00:00:00,2023-08-10 00:00:00,2023-08-17 00:00:00,2016,0,1,221
222,2023-08-18 00:00:00,2023-08-11 00:00:00,2023-08-18 00:00:00,2016,0,1,222
223,2023-08-19 00:00:00,2023-08-12 00:00:00,2023-08-19 00:00:00,2016,0,1,223
224,2023-08-20 00:00:00,2023-08-13 00:00:00,2023-08-20 00:00:00,2016,0,1,224
225,2023-08-21 00:00:00,2023-08-14 00:00:00,2023-08-21 00:00:00,2016,0,1,225
226,2023-08-22 00:00:00,2023-08-15 00:00:00,2023-08-22 00:00:00,2016,0,1,226
227,2023-08-23 00:00:00,2023-08-16 00:00:00,2023-08-23 00:00:00,2016,0,1,227
228,2023-08-24 00:00:00,2023-08-17 00:00:00,2023-08-24 00:00:00,2016,0,1,228
229,2023-08-25 00:00:00,2023-08-18 00:00:00,2023-08-25 00:00:00,2016,0,1,229
230,2023-08-26 00:00:00,2023-08-19 00:00:00,2023-08-26 00:00:00,2016,0,1,230
231,2023-08-27 00:00:00,2023-08-20 00:00:00,2023-08-27 00:00:00,2016,0,1,231
232,2023-08-28 00:00:00,2023-08-21 00:00:00,2023-08-28 00:00:00,2016,0,1,232
233,2023-08-29 00:00:00,2023-08-22 00:00:00,2023-08-29 00:00:00,2016,0,1,233
234,2023-08-30 00:00:00,2023-08-23 00:00:00,2023-08-30 00:00:00,2016,0,1,234
235,2023-08-31 00:00:00,2023-08-24 00:00:00,2023-08-31 00:00:00,2016,0,1,235
236,2023-09-01 00:00:00,2023-08-25 00:00:00,2023-09-01 00:00:00,2016,0,1,236
237,2023-09-02 00:00:00,2023-08-26 00:00:00,2023-09-02 00:00:00,2016,0,1,237
238,2023-09-03 00:00:00,2023-08-27 00:00:00,2023-09-03 00:00:00,2016,0,1,238
239,2023-09-04 00:00:00,2023-08-28 00:00:00,2023-09-04 00:00:00,2016,0,1,239
240,2023-09-05 00:00:00,2023-08-29 00:00:00,2023-09-05 00:00:00,2016,0,1,240
241,2023-09-06 00:00:00,2023-08-30 00:00:00,2023-09-06 00:00:00,2016,0,1,241
242,2023-09-07 00:00:00,2023-08-31 00:00:00,2023-09-07 00:00:00,2016,0,1,242
