previous_graph_slot,current_graph_slot,slot_gap,previous_edges,current_edges,intersection_edges,union_edges,added_edges,removed_edges,edge_jaccard,weighted_cosine,relative_frobenius_change
122,123,1,100,100,84,116,16,16,0.7241379310344828,0.9297026719972156,0.3722858396262079
123,124,1,100,100,80,120,20,20,0.6666666666666666,0.9087161762961319,0.43297131272013467
124,125,1,100,100,75,125,25,25,0.6,0.8827758834878753,0.484491736844675
125,126,1,100,100,78,122,22,22,0.639344262295082,0.8996122482679298,0.44279534128042103
126,127,1,100,100,80,120,20,20,0.6666666666666666,0.9211620654002675,0.4028759438380906
127,128,1,100,100,77,123,23,23,0.6260162601626016,0.8648660697305025,0.5735618447138359
128,129,1,100,100,81,119,19,19,0.680672268907563,0.9139272508461922,0.41561337016871625
129,130,1,100,100,83,117,17,17,0.7094017094017094,0.9350515833536694,0.3590909491784393
130,131,1,100,100,80,120,20,20,0.6666666666666666,0.9292797276088368,0.3768072624015314
131,132,1,100,100,80,120,20,20,0.6666666666666666,0.930735217038402,0.37825282170564084
132,133,1,100,100,81,119,19,19,0.680672268907563,0.9400382040652565,0.34784743706659255
133,134,1,100,100,81,119,19,19,0.680672268907563,0.9266453243455065,0.38634268758909895
134,135,1,100,100,77,123,23,23,0.6260162601626016,0.8780656968929013,0.5030078716918048
135,136,1,100,100,84,116,16,16,0.7241379310344828,0.9450223118340634,0.3403463105680882
136,137,1,100,100,80,120,20,20,0.6666666666666666,0.9324675373414643,0.3724483423540442
137,138,1,100,100,78,122,22,22,0.639344262295082,0.8863648988782358,0.46298989542479774
138,139,1,100,100,80,120,20,20,0.6666666666666666,0.9144637488785347,0.41002897655898046
139,140,1,100,100,79,121,21,21,0.6528925619834711,0.9185133843660936,0.402519016427045
140,141,1,100,100,80,120,20,20,0.6666666666666666,0.9111246248769049,0.44738688512277025
141,142,1,100,100,80,120,20,20,0.6666666666666666,0.9321627025580865,0.36576077641965166
142,143,1,100,100,85,115,15,15,0.7391304347826086,0.9557401117079695,0.2968088364227947
143,144,1,100,100,85,115,15,15,0.7391304347826086,0.9585396896466264,0.2895856962639535
144,145,1,100,100,80,120,20,20,0.6666666666666666,0.9393567566704318,0.34813433490578
145,146,1,100,100,85,115,15,15,0.7391304347826086,0.9614181337530002,0.27647707774888436
146,147,1,100,100,87,113,13,13,0.7699115044247787,0.9608196303254344,0.2827541634121738
147,148,1,100,100,81,119,19,19,0.680672268907563,0.9319942269077941,0.3642531268226919
148,149,1,100,100,73,127,27,27,0.5748031496062992,0.8638906579027488,0.510380184657862
149,150,1,100,100,82,118,18,18,0.6949152542372882,0.9283403607043781,0.37567498138028893
150,151,1,100,100,80,120,20,20,0.6666666666666666,0.9310457602665531,0.371470653977431
151,152,1,100,100,82,118,18,18,0.6949152542372882,0.9243683085687504,0.3940083208317873
152,153,1,100,100,89,111,11,11,0.8018018018018018,0.9540551707541147,0.3070240079183229
153,154,1,100,100,78,122,22,22,0.639344262295082,0.8848792701207978,0.493850994941072
154,155,1,100,100,83,117,17,17,0.7094017094017094,0.9352341845067028,0.36659778660583375
155,156,1,100,100,84,116,16,16,0.7241379310344828,0.960431757085747,0.28378063341502785
